Date,URL
"2018-04-13, Brasília, Federal District, Brazil",https://www.wunderground.com/history/daily/SBBR/date/2018-4-13
"2020-11-08, Brasília, Federal District, Brazil",https://www.wunderground.com/history/daily/SBBR/date/2020-11-8
"2020-11-09, Wellington, Wellington, New Zealand",https://www.wunderground.com/history/daily/NZWN/date/2020-11-9
