Date,URL
"2016-06-26, Port-au-Prince, Ouest, Haiti",https://www.wunderground.com/history/daily/MTPP/date/2016-6-26
"2020-11-08, Port-au-Prince, Ouest, Haiti",https://www.wunderground.com/history/daily/MTPP/date/2020-11-8
"2016-03-26, Kingston, Saint Andrew, Jamaica",https://www.wunderground.com/history/daily/MKJP/date/2016-3-26
"2018-08-01, Kingston, Saint Andrew, Jamaica",https://www.wunderground.com/history/daily/MKJP/date/2018-8-1
"2020-11-08, Kingston, Saint Andrew, Jamaica",https://www.wunderground.com/history/daily/MKJP/date/2020-11-8
