Date,URL
"2016-06-03, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-3
"2016-06-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-4
"2016-06-05, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-5
"2016-06-06, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-6
"2016-06-07, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-7
"2016-06-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-10
"2016-06-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-11
"2016-06-12, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-12
"2016-06-13, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-13
"2016-06-14, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-14
"2016-06-15, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-15
"2016-06-16, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-16
"2016-06-19, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-19
"2016-06-20, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-20
"2016-06-25, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-25
"2016-06-30, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-6-20
"2016-07-01, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-1
"2016-07-02, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-2
"2016-07-03, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-3
"2016-07-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-4
"2016-07-05, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-5
"2016-07-21, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-21
"2016-07-22, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-22
"2016-07-23, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-23
"2016-07-24, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-24
"2016-07-25, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-25
"2016-07-26, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-26
"2016-07-28, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-7-28
"2016-08-20, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-8-20
"2016-08-21, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-8-21
"2016-08-31, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-8-20
"2016-09-15, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-9-15
"2016-09-16, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-9-16
"2016-11-08, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-11-8
"2016-11-13, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-11-13
"2016-11-14, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-11-14
"2016-11-19, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-11-19
"2016-11-28, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-11-28
"2016-11-29, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-11-29
"2016-12-01, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-12-1
"2016-12-19, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2016-12-19
"2017-01-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-4
"2017-01-05, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-5
"2017-01-06, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-6
"2017-01-09, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-9
"2017-01-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-10
"2017-01-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-11
"2017-01-12, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-12
"2017-01-24, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-1-24
"2017-02-03, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-2-3
"2017-02-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-2-4
"2017-03-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-4
"2017-03-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-10
"2017-03-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-11
"2017-03-24, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-24
"2017-03-25, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-25
"2017-03-26, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-26
"2017-03-27, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-27
"2017-03-28, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-3-28
"2017-04-06, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-4-6
"2017-05-02, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-5-2
"2017-05-17, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-5-17
"2017-05-23, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-5-23
"2017-05-24, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-5-24
"2017-06-01, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-1
"2017-06-02, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-2
"2017-06-03, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-3
"2017-06-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-4
"2017-06-05, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-5
"2017-06-06, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-6
"2017-06-07, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-7
"2017-06-08, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-8
"2017-06-09, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-9
"2017-06-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-10
"2017-06-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history
"2017-06-12, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-12
"2017-06-13, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-13
"2017-06-14, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-14
"2017-06-15, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-15
"2017-06-16, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-16
"2017-06-17, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-17
"2017-06-18, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-18
"2017-06-26, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-26
"2017-06-28, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-28
"2017-06-29, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-6-29
"2017-07-01, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-1
"2017-07-02, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-2
"2017-07-03, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-3
"2017-07-09, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-9
"2017-07-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-10
"2017-07-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-11
"2017-07-24, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-24
"2017-07-25, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-25
"2017-07-26, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-26
"2017-07-27, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-27
"2017-07-28, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2017-7-28
