Date,URL
"2020-11-08, Ottawa, Ontario, Canada",https://www.wunderground.com/history/daily/CYOW/date/2020-11-8
"2022-03-13, Ottawa, Ontario, Canada",https://www.wunderground.com/history/daily/CYOW/date/2022-3-13
